Genus,Genus_species,Common_name,superfamily,IVSO,main_SO,calculation_main_SO,Main2,foraging_style
Symphalangus,Symphalangus_syndactylus,Siamang,Hominoidea,bp,MF,0.461538462,MF,groups
Tarsius,Tarsius_bancanus,Western Tarsier,Tarsioidea,none,solitary,1,solitary,solitary_groups
Tarsius,Tarsius_lariang,Lariang Tarsier,Tarsioidea,none,MF,1,MF,groups
Tarsius,Tarsius_pumilus,Sulawesi Mountain/Pygmy Tariser,Tarsioidea,none,FMM,1,FMM,groups
Tarsius,Tarsius_sangirensis,Great Sangihe Tarsier,Tarsioidea,wp,MF,0.6,MF,solitary_groups
Tarsius,Tarsius_syrichta,Philippine Tarsier,Tarsioidea,both,solitary,0.857142857,solitary,solitary_groups
Tarsius,Tarsius_tarsier,Spectral/Selayar Tarsier,Tarsioidea,wp,MF,0.80952381,MF,groups
Theropithecus,Theropithecus_gelada,Gelada Baboon,Cercopithecoidea,wp,MFF,0.692307692,MFF,groups
Trachypithecus,Trachypithecus_auratus,Javan Lutung,Cercopithecoidea,bp,MFF,0.5,FFMM,groups
Trachypithecus,Trachypithecus_cristatus,Silvered leaf Monkey,Cercopithecoidea,none,FFMM,1,FFMM,groups
Trachypithecus,Trachypithecus_francoisi,François' Langur,Cercopithecoidea,both,MFF,0.571428571,MFF,groups
Trachypithecus,Trachypithecus_geei,Golden Langur,Cercopithecoidea,none,MFF,0.8,MFF,groups
Trachypithecus,Trachypithecus_germaini,Germain's Langur,Cercopithecoidea,none,MFF,1,MFF,groups
Trachypithecus,Trachypithecus_johnii,Nilgiri Langur,Cercopithecoidea,bp,FFMM,0.75,FFMM,groups
Trachypithecus,Trachypithecus_obscurus,Dusky/Spectacled Leaf Monkey,Cercopithecoidea,both,MFF,0.75,MFF,groups
Trachypithecus,Trachypithecus_phayrei,Phayre's leaf Monkey,Cercopithecoidea,wp,MFF,0.555555556,MFF,groups
Trachypithecus,Trachypithecus_pileatus,Capped Langur,Cercopithecoidea,wp,MFF,0.75,MFF,groups
Trachypithecus,Trachypithecus_poliocephalus,Cat Ba Langur,Cercopithecoidea,both,MFF,0.903846154,MFF,groups
Trachypithecus,Trachypithecus_shortridgei,Shortridge's capped Langur,Cercopithecoidea,none,MFF,1,MFF,groups
Trachypithecus,Trachypithecus_vetulus,Purple-faced Leaf Monkey,Cercopithecoidea,both,MFF,0.5,FFMM,groups
Varecia,Varecia_variegata,Black-and-white Ruffed Lemur,Lemuroidea,none,FFMM,1,FFMM,groups
