rowid,dataset,rep,primateMRCA,model,DG,DP,G,P,S,tree
399,2,100,56,fitSYM,0,0,0.3972650488993101,0.5440463023272326,0.05868864877345724,Kuderna et al
400,2,100,68,fitSYM,0,0,0.07175686662040416,0.434591724067909,0.4936514093116869,Olivier et al
401,3,1,57,fitSYM,0,0,0.015781568199950087,0.9017232314435908,0.08249520035645914,Kuderna et al
402,3,1,67,fitSYM,0,0,0.04248166622844214,0.3274879887649145,0.6300303450066433,Olivier et al
403,3,2,57,fitSYM,0,0,0.02236140769083564,0.7715249071503901,0.20611368515877432,Kuderna et al
404,3,2,67,fitSYM,0,0,0.008337203298952245,0.11350669250406772,0.8781561041969801,Olivier et al
405,3,3,57,fitSYM,0,0,0.02236140715661517,0.7715249098083695,0.20611368303501532,Kuderna et al
406,3,3,67,fitSYM,0,0,0.018577978246981194,0.1730346997411813,0.8083873220118375,Olivier et al
407,3,4,57,fitSYM,0,0,0.008667350139527042,0.3875857547298275,0.6037468951306455,Kuderna et al
408,3,4,67,fitSYM,0,0,0.04862790282625981,0.30722836769107975,0.6441437294826604,Olivier et al
409,3,5,57,fitSYM,0,0,0.01114947846921601,0.5956511684728557,0.39319935305792836,Kuderna et al
410,3,5,67,fitSYM,0,0,0.011481883527746796,0.13384235600418493,0.8546757604680683,Olivier et al
411,3,6,57,fitSYM,0,0,0.009382782977788957,0.5351033806799257,0.4555138363422854,Kuderna et al
412,3,6,67,fitSYM,0,0,0.028899287545009294,0.27765324139627495,0.6934474710587157,Olivier et al
413,3,7,57,fitSYM,0,0,0.02705318510734218,0.6976639471100194,0.27528286778263833,Kuderna et al
414,3,7,67,fitSYM,0,0,0.0251988990556865,0.23803132906359492,0.7367697718807186,Olivier et al
415,3,8,57,fitSYM,0,0,0.012539916276510696,1.5313923145422478e-5,0.9874447698003439,Kuderna et al
416,3,8,67,fitSYM,0,0,0.021596112814389945,0.27149985788849296,0.706904029297117,Olivier et al
417,3,9,57,fitSYM,0,0,0.013099025147850035,0.4793709013308175,0.5075300735213325,Kuderna et al
418,3,9,67,fitSYM,0,0,0.07181691569912933,0.2659284979458636,0.662254586355007,Olivier et al
419,3,10,57,fitSYM,0,0,0.011678024131472318,0.6097848483757111,0.3785371274928165,Kuderna et al
420,3,10,67,fitSYM,0,0,0.040443067162175654,0.2985823499624386,0.6609745828753858,Olivier et al
421,3,11,57,fitSYM,0,0,0.007502598810676222,0.6761805804328068,0.31631682075651685,Kuderna et al
422,3,11,67,fitSYM,0,0,0.02859451798228434,0.3537828916135898,0.6176225904041258,Olivier et al
423,3,12,57,fitSYM,0,0,0.007301650896118664,0.6363562327326183,0.35634211637126306,Kuderna et al
424,3,12,67,fitSYM,0,0,0.006399574674662926,0.1409643930579437,0.8526360322673934,Olivier et al
425,3,13,57,fitSYM,0,0,0.011149478483738318,0.5956511681540981,0.39319935336216366,Kuderna et al
426,3,13,67,fitSYM,0,0,0.01006254140466309,0.09685126815079226,0.8930861904445446,Olivier et al
427,3,14,57,fitSYM,0,0,0.019463165830661645,0.6439259314545784,0.33661090271475996,Kuderna et al
428,3,14,67,fitSYM,0,0,0.015872657519742393,0.2978385374967707,0.6862888049834869,Olivier et al
429,3,15,57,fitSYM,0,0,0.006064718889850059,0.2665715406636241,0.7273637404465259,Kuderna et al
430,3,15,67,fitSYM,0,0,0.03384687583547722,0.1474054603499066,0.8187476638146163,Olivier et al
431,3,16,57,fitSYM,0,0,0.00954236286475047,0.5392425670015699,0.45121507013367956,Kuderna et al
432,3,16,67,fitSYM,0,0,0.04310555810151426,0.22787860702200197,0.7290158348764838,Olivier et al
433,3,17,57,fitSYM,0,0,0.011149478508965176,0.5956511676271224,0.3931993538639124,Kuderna et al
434,3,17,67,fitSYM,0,0,0.013762756392632133,0.17010152412983143,0.8161357194775365,Olivier et al
